month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/03/01 05:00:00+00,Total,31,Ferry,82061,2647,347
2026/03/01 05:00:00+00,Total,31,The RIDE,107027,3452,348
2026/02/01 05:00:00+00,Weekday,19,Blue Line,860081,45267,349
2026/02/01 05:00:00+00,Weekday,19,Orange Line,2555293,134489,350
2026/02/01 05:00:00+00,Weekday,19,Red Line,2741945,144313,351
2026/02/01 05:00:00+00,Weekday,19,Heavy Rail,6157318,324069,352
2026/02/01 05:00:00+00,Weekday,19,Green Line,2366880,124573,353
2026/02/01 05:00:00+00,Weekday,19,Mattapan Line,49916,2627,354
2026/02/01 05:00:00+00,Weekday,19,Light Rail,2416796,127200,355
2026/02/01 05:00:00+00,Weekday,19,Silver Line,506527,26659,356
2026/02/01 05:00:00+00,Weekday,19,Bus,4634062,243898,357
2026/02/01 05:00:00+00,Weekday,19,All Bus,5140589,270557,358
2026/02/01 05:00:00+00,Weekday,19,Commuter Rail,1881518,99027,359
2026/02/01 05:00:00+00,Weekday,19,Ferry,29065,1530,360
2026/02/01 05:00:00+00,Weekday,19,The RIDE,68774,3620,361
2026/02/01 05:00:00+00,Saturday,5,Blue Line,168962,33792,362
2026/02/01 05:00:00+00,Saturday,5,Orange Line,392423,78485,363
2026/02/01 05:00:00+00,Saturday,5,Red Line,472130,94426,364
2026/02/01 05:00:00+00,Saturday,5,Heavy Rail,1033515,206703,365
2026/02/01 05:00:00+00,Saturday,5,Green Line,530816,106163,366
2026/02/01 05:00:00+00,Saturday,5,Mattapan Line,5826,1165,367
2026/02/01 05:00:00+00,Saturday,5,Light Rail,536641,107328,368
2026/02/01 05:00:00+00,Saturday,5,Silver Line,118586,23717,369
2026/02/01 05:00:00+00,Saturday,5,Bus,983916,196783,370
2026/02/01 05:00:00+00,Saturday,5,All Bus,1102502,220500,371
2026/02/01 05:00:00+00,Saturday,4,Commuter Rail,155110,38778,372
2026/02/01 05:00:00+00,Saturday,4,Ferry,853,213,373
2026/02/01 05:00:00+00,Saturday,4,The RIDE,6922,1730,374
2026/02/01 05:00:00+00,Sunday,4,Blue Line,97941,24485,375
2026/02/01 05:00:00+00,Sunday,4,Orange Line,246865,61716,376
2026/02/01 05:00:00+00,Sunday,4,Red Line,274323,68581,377
2026/02/01 05:00:00+00,Sunday,4,Heavy Rail,619129,154782,378
2026/02/01 05:00:00+00,Sunday,4,Green Line,306391,76598,379
2026/02/01 05:00:00+00,Sunday,4,Mattapan Line,3175,794,380
2026/02/01 05:00:00+00,Sunday,4,Light Rail,309566,77392,381
2026/02/01 05:00:00+00,Sunday,4,Silver Line,63309,15827,382
2026/02/01 05:00:00+00,Sunday,4,Bus,438499,109625,383
2026/02/01 05:00:00+00,Sunday,4,All Bus,501807,125452,384
